A,B,,C,D,E,F,G,H
1,-15.7403430935798,,0,-20.1948562680158,0,-20.1948562680158,0,-20.1948562680158
0,1E+308,,0,-20.1936790318611,0,-20.1936790318611,0,-20.1936790318611
0,-15.7387648333426,,0,-20.1925017957063,0,-20.1925017957063,0,-20.1925017957063
1,-15.7387648333426,,0,-20.1913245595516,0,-20.1913245595516,0,-20.1913245595516
0,1E+308,,0,-20.1901473233968,0,-20.1901473233968,0,-20.1901473233968
0,-15.7033628235392,,0,-20.1889700872421,0,-20.1889700872421,0,-20.1889700872421
1,-15.7033628235392,,0,-20.1877928510873,0,-20.1877928510873,0,-20.1877928510873
0,1E+308,,0,-20.1866156149326,0,-20.1866156149326,0,-20.1866156149326
0,-15.7025736934206,,0,-20.1854383787778,0,-20.1854383787778,0,-20.1854383787778
1,-15.7025736934206,,0,-20.1842611426231,0,-20.1842611426231,0,-20.1842611426231
0,1E+308,,0,-20.1830839064683,0,-20.1830839064683,0,-20.1830839064683
0,-15.694301432867,,0,-20.1819066703136,0,-20.1819066703136,0,-20.1819066703136
1,-15.694301432867,,0,-20.1807294341588,0,-20.1807294341588,0,-20.1807294341588
0,1E+308,,0,-20.1795521980041,0,-20.1795521980041,0,-20.1795521980041
0,-15.597701021797,,0,-20.1783749618493,0,-20.1783749618493,0,-20.1783749618493
1,-15.597701021797,,0,-20.1771977256946,0,-20.1771977256946,0,-20.1771977256946
0,1E+308,,0,-20.1760204895398,0,-20.1760204895398,0,-20.1760204895398
0,-15.5961771843266,,0,-20.1748432533851,0,-20.1748432533851,0,-20.1748432533851
1,-15.5961771843266,,0,-20.1736660172303,0,-20.1736660172303,0,-20.1736660172303
0,1E+308,,0,-20.1724887810756,0,-20.1724887810756,0,-20.1724887810756
0,-15.594027485038,,0,-20.1713115449208,0,-20.1713115449208,0,-20.1713115449208
1,-15.594027485038,,0,-20.1701343087661,0,-20.1701343087661,0,-20.1701343087661
0,1E+308,,0,-20.1689570726113,0,-20.1689570726113,0,-20.1689570726113
0,-15.5932383549194,,0,-20.1677798364566,0,-20.1677798364566,0,-20.1677798364566
1,-15.5932383549194,,0,-20.1666026003018,0,-20.1666026003018,0,-20.1666026003018
0,1E+308,,0,-20.1654253641471,0,-20.1654253641471,0,-20.1654253641471
0,-15.5735645247212,,0,-20.1642481279924,0,-20.1642481279924,0,-20.1642481279924
1,-15.5735645247212,,0,-20.1630708918376,0,-20.1630708918376,0,-20.1630708918376
0,1E+308,,0,-20.1618936556829,0,-20.1618936556829,0,-20.1618936556829
0,-15.5583261500172,,0,-20.1607164195281,0,-20.1607164195281,0,-20.1607164195281
1,-15.5583261500172,,0,-20.1595391833734,0,-20.1595391833734,0,-20.1595391833734
0,1E+308,,0,-20.1583619472186,0,-20.1583619472186,0,-20.1583619472186
0,-15.5476864991078,,0,-20.1571847110639,0,-20.1571847110639,0,-20.1571847110639
1,-15.5476864991078,,0,-20.1560074749091,0,-20.1560074749091,0,-20.1560074749091
0,1E+308,,0,-20.1548302387544,0,-20.1548302387544,0,-20.1548302387544
0,-15.540285002823,,0,-20.1536530025996,0,-20.1536530025996,0,-20.1536530025996
1,-15.540285002823,,0,-20.1524757664449,0,-20.1524757664449,0,-20.1524757664449
0,1E+308,,0,-20.1512985302901,0,-20.1512985302901,0,-20.1512985302901
0,-15.524910571202,,0,-20.1501212941354,0,-20.1501212941354,0,-20.1501212941354
1,-15.524910571202,,0,-20.1489440579806,0,-20.1489440579806,0,-20.1489440579806
0,1E+308,,0,-20.1477668218259,0,-20.1477668218259,0,-20.1477668218259
0,-15.5007740741262,,0,-20.1465895856711,0,-20.1465895856711,0,-20.1465895856711
1,-15.5007740741262,,0,-20.1454123495164,0,-20.1454123495164,0,-20.1454123495164
0,1E+308,,0,-20.1442351133616,0,-20.1442351133616,0,-20.1442351133616
0,-15.4636033244018,,0,-20.1430578772069,0,-20.1430578772069,0,-20.1430578772069
1,-15.4636033244018,,0,-20.1418806410521,0,-20.1418806410521,0,-20.1418806410521
0,1E+308,,0,-20.1407034048974,0,-20.1407034048974,0,-20.1407034048974
0,-15.3814793693006,,0,-20.1395261687426,0,-20.1395261687426,0,-20.1395261687426
1,-15.3814793693006,,0,-20.1383489325879,0,-20.1383489325879,0,-20.1383489325879
0,1E+308,,0,-20.1371716964331,0,-20.1371716964331,0,-20.1371716964331
0,-15.366404262897,,0,-20.1359944602784,0,-20.1359944602784,0,-20.1359944602784
1,-15.366404262897,,0,-20.1348172241237,0,-20.1348172241237,0,-20.1348172241237
0,1E+308,,0,-20.1336399879689,0,-20.1336399879689,0,-20.1336399879689
